05/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:52724/favicon.ico, chrome, windows, 127.0.0.1
05/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:54182/favicon.ico, chrome, windows, 127.0.0.1
05/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:54358/favicon.ico, chrome, windows, 127.0.0.1
05/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:54414/favicon.ico, chrome, windows, 127.0.0.1
05/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:54509/favicon.ico, chrome, windows, 127.0.0.1
05/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:54539/favicon.ico, chrome, windows, 127.0.0.1
05/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:54645/favicon.ico, chrome, windows, 127.0.0.1
05/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:54733/favicon.ico, chrome, windows, 127.0.0.1
05/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:54953/favicon.ico, chrome, windows, 127.0.0.1
15/01/2022, SECURITY, Error 404, Page Not Found, http://127.0.0.1:51019/food-bank-information/, chrome, windows, 127.0.0.1
15/01/2022, SECURITY, Error 403, Page Forbidden, http://127.0.0.1:51019/food-bank-information/1, chrome, windows, 127.0.0.1
